Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
1.0,8.10 C,8.60 mm,2020-10-19,2020
1.0,11.50 C,1.20 mm,2020-10-20,2020
0.5,17.20 C,5.00 mm,2020-10-21,2020
1.0,12.30 C,2.00 mm,2020-10-22,2020
1.0,24.70 C,2.60 mm,2020-10-23,2020
0.5,8.40 C,0.00 mm,2020-10-24,2020
1.0,6.40 C,0.00 mm,2020-10-25,2020
1.0,8.10 C,1.60 mm,2020-10-26,2020
1.0,7.30 C,5.20 mm,2020-10-27,2020
1.5,11.80 C,0.00 mm,2020-10-28,2020
1.0,10.80 C,1.60 mm,2020-10-29,2020
1.0,2.30 C,0.00 mm,2020-10-30,2020
1.0,6.70 C,0.00 mm,2020-10-31,2020
0.5,11.20 C,3.60 mm,2020-11-01,2020
1.0,7.20 C,0.00 mm,2020-11-02,2020
0.5,7.10 C,0.00 mm,2020-11-03,2020
1.0,19.60 C,0.00 mm,2020-11-04,2020
0.5,19.20 C,0.00 mm,2020-11-05,2020
5.5,20.80 C,0.00 mm,2020-11-06,2020
3.0,21.00 C,0.00 mm,2020-11-07,2020
1.0,20.10 C,0.00 mm,2020-11-08,2020
0.5,19.50 C,0.00 mm,2020-11-09,2020
0.5,24.30 C,0.00 mm,2020-11-10,2020
1.0,18.20 C,0.60 mm,2020-11-11,2020
0.0,9.80 C,0.00 mm,2020-11-12,2020
1.0,9.00 C,0.00 mm,2020-11-13,2020
0.5,7.60 C,0.00 mm,2020-11-14,2020
1.0,13.20 C,10.40 mm,2020-11-15,2020
0.5,4.10 C,0.20 mm,2020-11-16,2020
1.0,3.00 C,0.60 mm,2020-11-17,2020
0.5,1.50 C,0.00 mm,2020-11-18,2020
1.0,15.00 C,0.00 mm,2020-11-19,2020
0.5,17.80 C,0.00 mm,2020-11-20,2020
1.0,6.00 C,0.00 mm,2020-11-21,2020
1.0,1.90 C,19.40 mm,2020-11-22,2020
0.5,3.50 C,0.00 mm,2020-11-23,2020
1.0,2.10 C,1.00 mm,2020-11-24,2020
0.5,8.30 C,6.80 mm,2020-11-25,2020
1.0,11.90 C,1.20 mm,2020-11-26,2020
0.5,7.80 C,0.00 mm,2020-11-27,2020
1.0,7.00 C,0.00 mm,2020-11-28,2020
0.5,10.80 C,0.00 mm,2020-11-29,2020
1.0,5.50 C,22.00 mm,2020-11-30,2020
1.0,-0.10 C,8.40 mm,2020-12-01,2020
0.5,3.80 C,1.00 mm,2020-12-02,2020
0.5,4.10 C,0.00 mm,2020-12-03,2020
1.0,3.40 C,3.60 mm,2020-12-04,2020
1.0,1.70 C,0.00 mm,2020-12-05,2020
1.0,0.70 C,0.00 mm,2020-12-06,2020
1.0,1.00 C,0.00 mm,2020-12-07,2020
1.0,1.90 C,0.00 mm,2020-12-08,2020
0.5,4.40 C,4.00 mm,2020-12-09,2020
1.0,5.90 C,0.00 mm,2020-12-10,2020
1.0,9.40 C,0.00 mm,2020-12-11,2020
1.0,9.10 C,8.00 mm,2020-12-12,2020
0.5,5.10 C,0.00 mm,2020-12-13,2020
1.0,1.70 C,0.00 mm,2020-12-14,2020
1.0,-2.40 C,0.20 mm,2020-12-15,2020
1.0,-5.60 C,1.40 mm,2020-12-16,2020
2.0,-2.70 C,0.60 mm,2020-12-17,2020
1.0,-1.30 C,0.00 mm,2020-12-18,2020
1.0,2.50 C,2.20 mm,2020-12-19,2020
1.0,5.00 C,1.20 mm,2020-12-20,2020
1.0,4.30 C,0.20 mm,2020-12-21,2020
1.0,2.70 C,0.00 mm,2020-12-22,2020
0.5,6.30 C,1.80 mm,2020-12-23,2020
0.5,9.60 C,12.40 mm,2020-12-24,2020
1.0,-0.40 C,8.00 mm,2020-12-25,2020
0.5,-2.50 C,1.60 mm,2020-12-26,2020
1.0,2.50 C,1.00 mm,2020-12-27,2020
1.0,4.40 C,5.20 mm,2020-12-28,2020
1.0,-1.20 C,0.00 mm,2020-12-29,2020
1.0,5.10 C,3.20 mm,2020-12-30,2020
0.5,,,2020-12-31,2020
