Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-07-08,9.48,4.39,6.03,,,,,,,0.78,0.5,1.03,,,,,,,21.0
2022-07-09,26.31,0.0,0.0,,,,,,,2.16,0.0,0.0,,,,,,,19.0
2022-07-10,27.0,0.0,0.0,,,,,,,2.21,0.0,0.0,,,,,,,21.0
2022-07-11,10.65,5.51,8.62,,,,,,,0.87,0.62,1.47,,,,,,,24.0
2022-07-12,10.72,4.79,5.22,,,,,,,0.88,0.54,0.89,,,,,,,23.0
2022-07-13,11.9,5.46,5.55,,,,,,,0.98,0.62,0.94,,,,,,,20.0
2022-07-14,11.66,6.93,8.2,,,,,,,0.96,0.78,1.39,,,,,,,21.0
2022-07-15,10.73,7.54,5.99,,,,,,,0.88,0.85,1.02,,,,,,,21.0
2022-07-16,24.64,0.0,0.0,,,,,,,2.02,0.0,0.0,,,,,,,23.0
2022-07-17,24.37,0.0,0.0,,,,,,,2.0,0.0,0.0,,,,,,,24.0
2022-07-18,13.14,5.73,6.55,,,,,,,1.08,0.65,1.11,,,,,,,24.0
2022-07-19,11.4,4.86,5.71,,,,,,,0.93,0.55,0.97,,,,,,,27.0
2022-07-20,16.49,4.39,4.53,,,,,,,1.35,0.5,0.77,,,,,,,28.0
2022-07-21,14.38,5.68,6.74,,,,,,,1.18,0.64,1.15,,,,,,,26.0
2022-07-22,12.93,7.57,8.38,,,,,,,1.06,0.86,1.42,,,,,,,26.0
2022-07-23,21.3,0.0,0.0,,,,,,,1.75,0.0,0.0,,,,,,,28.0
2022-07-24,20.11,0.0,0.0,,,,,,,1.65,0.0,0.0,,,,,,,26.0
2022-07-25,11.2,4.65,5.98,,,,,,,0.92,0.53,1.02,,,,,,,20.0
2022-07-26,10.8,6.62,4.98,,,,,,,0.89,0.75,0.85,,,,,,,19.0
2022-07-27,11.42,4.94,6.41,,,,,,,0.94,0.56,1.09,,,,,,,21.0
2022-07-28,10.37,5.05,5.77,,,,,,,0.85,0.57,0.98,,,,,,,24.0
2022-07-29,10.81,5.44,6.66,,,,,,,0.89,0.61,1.13,,,,,,,22.0
2022-07-30,26.82,0.0,0.0,,,,,,,2.2,0.0,0.0,,,,,,,21.0
2022-07-31,23.19,0.0,0.0,,,,,,,1.9,0.0,0.0,,,,,,,23.0
2022-08-01,22.22,0.0,0.0,,,,,,,1.82,0.0,0.0,,,,,,,24.0
2022-08-02,15.52,5.55,6.88,,,,,,,1.27,0.63,1.17,,,,,,,22.0
2022-08-03,11.56,6.1,6.11,,,,,,,0.95,0.69,1.04,,,,,,,23.0
2022-08-04,16.45,5.9,5.74,,,,,,,1.35,0.67,0.98,,,,,,,25.0
2022-08-05,12.29,9.37,5.28,,,,,,,1.01,1.06,0.9,,,,,,,25.0
2022-08-06,22.37,0.0,0.0,,,,,,,1.83,0.0,0.0,,,,,,,26.0
2022-08-07,24.66,0.0,0.0,,,,,,,2.02,0.0,0.0,,,,,,,28.0
2022-08-08,11.23,7.46,5.63,,,,,,,0.92,0.84,0.96,,,,,,,26.0
2022-08-09,10.47,5.28,6.36,,,,,,,0.86,0.6,1.08,,,,,,,20.0
2022-08-10,13.16,6.16,6.98,,,,,,,1.08,0.7,1.19,,,,,,,21.0
2022-08-11,11.15,6.4,6.06,,,,,,,0.91,0.72,1.03,,,,,,,21.0
2022-08-12,12.27,5.38,7.05,,,,,,,1.01,0.61,1.2,,,,,,,20.0
2022-08-13,22.63,0.0,0.0,,,,,,,1.86,0.0,0.0,,,,,,,19.0
2022-08-14,21.77,0.0,0.0,,,,,,,1.79,0.0,0.0,,,,,,,21.0
2022-08-15,13.85,5.4,9.81,,,,,,,1.14,0.61,1.67,,,,,,,23.0
2022-08-16,11.81,5.47,8.23,,,,,,,0.97,0.62,1.4,,,,,,,22.0
2022-08-17,15.07,5.41,5.43,,,,,,,1.24,0.61,0.92,,,,,,,22.0
2022-08-18,12.58,5.3,6.02,,,,,,,1.03,0.6,1.02,,,,,,,23.0
2022-08-19,12.9,5.2,5.32,,,,,,,1.06,0.59,0.9,,,,,,,22.0
2022-08-20,20.67,0.0,0.0,,,,,,,1.69,0.0,0.0,,,,,,,24.0
2022-08-21,24.79,0.0,0.0,,,,,,,2.03,0.0,0.0,,,,,,,22.0
2022-08-22,11.57,5.35,5.35,,,,,,,0.95,0.6,0.91,,,,,,,22.0
2022-08-23,13.0,7.79,5.59,,,,,,,1.07,0.88,0.95,,,,,,,23.0
2022-08-24,12.03,5.29,5.2,,,,,,,0.99,0.6,0.88,,,,,,,23.0
2022-08-25,14.4,5.25,5.37,,,,,,,1.18,0.59,0.91,,,,,,,22.0
2022-08-26,11.8,5.17,5.47,,,,,,,0.97,0.58,0.93,,,,,,,21.0
2022-08-27,22.08,0.0,0.0,,,,,,,1.81,0.0,0.0,,,,,,,18.0
2022-08-28,20.92,0.0,0.0,,,,,,,1.72,0.0,0.0,,,,,,,22.0
2022-08-29,12.78,6.72,5.5,,,,,,,1.05,0.76,0.94,,,,,,,26.0
2022-08-30,11.56,5.39,6.88,,,,,,,0.95,0.61,1.17,,,,,,,21.0
2022-08-31,11.99,8.48,9.46,,,,,,,0.98,0.96,1.61,,,,,,,21.0
2022-09-01,10.42,5.93,6.13,,,,,,,0.85,0.67,1.04,,,,,,,18.0
2022-09-02,15.05,5.08,5.15,,,,,,,1.23,0.57,0.88,,,,,,,22.0
2022-09-03,23.23,0.0,0.0,,,,,,,1.9,0.0,0.0,,,,,,,24.0
2022-09-04,22.15,0.0,0.0,,,,,,,1.82,0.0,0.0,,,,,,,18.0
2022-09-05,20.34,0.0,0.0,,,,,,,1.67,0.0,0.0,,,,,,,19.0
2022-09-06,15.61,5.0,7.23,,,,,,,1.28,0.57,1.23,,,,,,,19.0
2022-09-07,10.94,6.33,5.69,,,,,,,0.9,0.72,0.97,,,,,,,21.0
2022-09-08,10.32,5.28,6.71,,,,,,,0.85,0.6,1.14,,,,,,,21.0
2022-09-09,11.93,5.26,5.03,,,,,,,0.98,0.59,0.86,,,,,,,21.0
2022-09-10,20.87,0.0,0.0,,,,,,,1.71,0.0,0.0,,,,,,,24.0
2022-09-11,19.59,0.0,0.0,,,,,,,1.61,0.0,0.0,,,,,,,22.0
2022-09-12,10.51,5.21,5.0,,,,,,,0.86,0.59,0.85,,,,,,,20.0
2022-09-13,15.58,5.5,5.25,,,,,,,1.28,0.62,0.89,,,,,,,17.0
2022-09-14,10.3,6.58,6.88,,,,,,,0.84,0.74,1.17,,,,,,,18.0
2022-09-15,11.04,5.08,4.59,,,,,,,0.91,0.57,0.78,,,,,,,14.0
2022-09-16,10.29,5.87,7.9,,,,,,,0.84,0.66,1.34,,,,,,,18.0
2022-09-17,22.13,0.0,0.0,,,,,,,1.81,0.0,0.0,,,,,,,20.0
2022-09-18,26.44,0.0,0.0,,,,,,,2.17,0.0,0.0,,,,,,,
2022-09-19,11.1,5.93,9.53,,,,,,,0.91,0.67,1.62,,,,,,,22.0
2022-09-20,12.5,5.46,9.21,,,,,,,1.02,0.62,1.57,,,,,,,21.0
2022-09-21,11.74,5.18,5.86,,,,,,,0.96,0.59,1.0,,,,,,,23.0
2022-09-22,10.84,5.0,5.09,,,,,,,0.89,0.57,0.87,,,,,,,12.0
2022-09-23,13.75,7.51,7.22,,,,,,,1.13,0.85,1.23,,,,,,,11.0
2022-09-24,33.07,0.0,0.0,,,,,,,2.71,0.0,0.0,,,,,,,12.0
2022-09-25,23.15,0.0,0.0,,,,,,,1.9,0.0,0.0,,,,,,,16.0
2022-09-26,11.49,7.12,8.2,,,,,,,0.94,0.8,1.39,,,,,,,14.0
2022-09-27,12.51,5.07,4.75,,,,,,,1.03,0.57,0.81,,,,,,,15.0
2022-09-28,13.47,4.99,6.86,,,,,,,1.1,0.56,1.17,,,,,,,12.0
2022-09-29,11.22,6.61,6.8,,,,,,,0.92,0.75,1.16,,,,,,,12.0
2022-09-30,14.76,7.78,8.35,,,,,,,1.21,0.88,1.42,,,,,,,12.0
2022-10-01,23.83,0.0,0.0,,,,,,,1.95,0.0,0.0,,,,,,,15.0
2022-10-02,29.41,0.0,0.0,,,,,,,2.41,0.0,0.0,,,,,,,11.0
2022-10-03,10.52,4.42,9.07,,,,,,,0.86,0.5,1.54,,,,,,,10.0
2022-10-04,14.14,4.84,3.84,,,,,,,1.16,0.55,0.65,,,,,,,12.0
2022-10-05,13.07,4.84,4.08,,,,,,,1.07,0.55,0.69,,,,,,,16.0
2022-10-06,8.22,5.34,4.41,,,,,,,0.67,0.6,0.75,,,,,,,18.0
2022-10-07,13.95,5.96,5.11,,,,,,,1.14,0.67,0.87,,,,,,,8.0
2022-10-08,31.07,0.0,0.0,,,,,,,2.55,0.0,0.0,,,,,,,7.0
2022-10-09,27.41,0.0,0.0,,,,,,,2.25,0.0,0.0,,,,,,,11.0
2022-10-10,20.5,0.0,0.0,,,,,,,1.68,0.0,0.0,,,,,,,11.0
2022-10-11,9.62,3.42,4.04,,,,,,,0.79,0.39,0.69,,,,,,,14.0
2022-10-12,8.14,2.27,7.33,,,,,,,0.67,0.26,1.25,,,,,,,17.0
2022-10-13,8.75,4.18,5.97,,,,,,,0.72,0.47,1.01,,,,,,,11.0
2022-10-14,10.47,5.33,9.28,,,,,,,0.86,0.6,1.58,,,,,,,10.0
2022-10-15,18.62,0.0,0.0,,,,,,,1.53,0.0,0.0,,,,,,,10.0
2022-10-16,17.7,0.0,0.0,,,,,,,1.45,0.0,0.0,,,,,,,11.0
2022-10-17,5.8,2.79,3.58,,,,,,,0.48,0.32,0.61,,,,,,,7.0
2022-10-18,11.42,3.99,3.11,,,,,,,0.94,0.45,0.53,,,,,,,5.0
2022-10-19,13.18,2.35,7.82,,,,,,,1.08,0.27,1.33,,,,,,,7.0
2022-10-20,7.64,5.18,7.15,,,,,,,0.63,0.59,1.22,,,,,,,4.0
2022-10-21,12.91,5.77,3.6,,,,,,,1.06,0.65,0.61,,,,,,,9.0
2022-10-22,20.34,0.0,0.0,,,,,,,1.67,0.0,0.0,,,,,,,16.0
2022-10-23,18.48,0.0,0.0,,,,,,,1.52,0.0,0.0,,,,,,,13.0
2022-10-24,9.82,5.69,4.74,,,,,,,0.81,0.64,0.81,,,,,,,12.0
2022-10-25,7.15,5.77,10.2,,,,,,,0.59,0.65,1.73,,,,,,,13.0
2022-10-26,13.62,7.05,6.97,,,,,,,1.12,0.8,1.18,,,,,,,11.0
2022-10-27,7.85,5.13,3.08,,,,,,,0.64,0.58,0.52,,,,,,,6.0
2022-10-28,13.95,5.94,7.78,,,,,,,1.14,0.67,1.32,,,,,,,6.0
2022-10-29,22.79,0.0,0.0,,,,,,,1.87,0.0,0.0,,,,,,,8.0
2022-10-30,30.15,0.0,0.0,,,,,,,2.47,0.0,0.0,,,,,,,8.0
2022-10-31,14.82,5.8,7.89,,,,,,,1.22,0.66,1.34,,,,,,,9.0
2022-11-01,18.43,6.08,8.33,,,,,,,1.36,0.62,1.26,,,,,,,14.0
2022-11-02,15.08,5.56,6.35,,,,,,,1.12,0.57,0.96,,,,,,,10.0
2022-11-03,12.38,3.45,3.29,,,,,,,0.92,0.35,0.5,,,,,,,10.0
2022-11-04,23.77,4.9,7.49,,,,,,,1.76,0.5,1.13,,,,,,,14.0
2022-11-05,38.36,0.0,0.0,,,,,,,2.84,0.0,0.0,,,,,,,19.0
2022-11-06,46.44,0.0,0.0,,,,,,,3.44,0.0,0.0,,,,,,,15.0
2022-11-07,23.45,3.26,5.0,,,,,,,1.74,0.33,0.76,,,,,,,8.0
2022-11-08,16.46,11.95,5.26,,,,,,,1.22,1.22,0.79,,,,,,,6.0
2022-11-09,20.03,12.19,16.42,,,,,,,1.48,1.24,2.48,,,,,,,8.0
2022-11-10,16.97,11.33,7.06,,,,,,,1.26,1.16,1.07,,,,,,,15.0
2022-11-11,21.6,5.35,7.44,,,,,,,1.6,0.55,1.12,,,,,,,13.0
2022-11-12,55.73,0.0,0.0,,,,,,,4.12,0.0,0.0,,,,,,,7.0
2022-11-13,54.96,0.0,0.0,,,,,,,4.07,0.0,0.0,,,,,,,1.0
2022-11-14,21.45,11.92,11.36,,,,,,,1.59,1.22,1.72,,,,,,,1.0
2022-11-15,27.42,10.64,12.64,,,,,,,2.03,1.09,1.91,,,,,,,-1.0
2022-11-16,36.27,8.5,13.14,,,,,,,2.68,0.87,1.98,,,,,,,0.0
2022-11-17,19.47,11.8,15.84,,,,,,,1.44,1.2,2.39,,,,,,,-1.0
2022-11-18,31.7,21.97,12.55,,,,,,,2.35,2.24,1.9,,,,,,,-1.0
2022-11-19,48.66,0.0,0.0,,,,,,,3.6,0.0,0.0,,,,,,,-3.0
2022-11-20,74.69,0.0,0.0,,,,,,,5.53,0.0,0.0,,,,,,,-5.0
2022-11-21,38.86,7.88,14.36,,,,,,,2.88,0.8,2.17,,,,,,,0.0
2022-11-22,29.45,11.17,8.85,,,,,,,2.18,1.14,1.34,,,,,,,2.0
2022-11-23,24.11,9.3,7.79,,,,,,,1.78,0.95,1.18,,,,,,,3.0
2022-11-24,27.01,14.05,11.56,,,,,,,2.0,1.43,1.75,,,,,,,4.0
2022-11-25,15.6,11.44,9.64,,,,,,,1.15,1.17,1.46,,,,,,,4.0
2022-11-26,50.78,0.0,0.0,,,,,,,3.76,0.0,0.0,,,,,,,7.0
2022-11-27,25.84,0.0,0.0,,,,,,,1.91,0.0,0.0,,,,,,,5.0
2022-11-28,10.87,8.14,6.88,,,,,,,0.8,0.83,1.04,,,,,,,2.0
2022-11-29,10.88,9.01,5.99,,,,,,,0.81,0.92,0.9,,,,,,,4.0
2022-11-30,18.67,5.05,4.45,,,,,,,1.38,0.52,0.67,,,,,,,4.0
2022-12-01,19.12,13.23,4.99,,,,,,,1.41,1.35,0.75,,,,,,,-1.0
2022-12-02,15.49,5.81,4.15,,,,,,,1.15,0.59,0.63,,,,,,,2.0
2022-12-03,39.97,0.0,0.0,,,,,,,2.96,0.0,0.0,,,,,,,5.0
2022-12-04,48.7,0.0,0.0,,,,,,,3.6,0.0,0.0,,,,,,,-1.0
2022-12-05,11.68,6.97,5.74,,,,,,,0.86,0.71,0.87,,,,,,,3.0
2022-12-06,12.15,6.56,7.44,,,,,,,0.9,0.67,1.12,,,,,,,5.0
2022-12-07,14.81,5.88,5.59,,,,,,,1.1,0.6,0.84,,,,,,,5.0
